@relation wubalubadubdub
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute class numeric
@data
10, -2.4, 1.63871E-05, 77, 6.292853089, 42.00090748, 0.03593601, 12, 122.956
31.5, -4.2, 0.000131097, 69, 5.630275304, 42.00580776, 0.184105992, 15.6, 122.086
100, 0, 1.63871E-05, 11, 5.630275304, 42.00043947, 0.013931262, 7.2, 134.227
40, -11.1, 1.63871E-05, 20, 6.292853089, 42.0229028, 0.90695088, 29.4, 119.646
31.5, -4.95, 0.003539606, 52, 6.292853089, 42.0233328, 0.92397888, 17.1, 113.525
40, -5.6, 0.000131097, 16, 8.443932733, 42.014072, 1.0033336, 18.4, 122.471
63, 0, 0.001048772, 47, 6.292853089, 42.00146332, 0.057947472, 7.2, 125.631
6.3, -1, 0.01194617, 88, 7.449832213, 42.00313525, 0.174006375, 9.2, 126.842
12.5, -6.15, 0.001048772, 92, 8.443932733, 42.0337792, 2.40845696, 19.5, 126.648
80, -3.6, 0.003539606, 22, 6.292853089, 42.00909175, 0.3600333, 14.4, 111.588
20, -2.7, 0.003539606, 76, 8.443932733, 42.00401199, 0.286054887, 12.6, 131.111
12.5, 0, 1.63871E-05, 68, 5.630275304, 42.00043947, 0.013931262, 7.2, 127.947
16, -2.4, 1.63871E-05, 29, 6.292853089, 42.00090748, 0.03593601, 12, 125.966
20, -1, 0.01194617, 7, 5.630275304, 42.00372371, 0.118041607, 9.2, 123.037
